Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-138.91,69.57,HERSCHEL ISLAND,2100636,2004-01-01,2004,1,1,,-16.9,,-23.5,,-20.2,,38.2,,0,,,M,,M,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2004-01-02,2004,1,2,,-5.2,,-26.3,,-15.8,,33.8,,0,,,M,,M,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2004-01-03,2004,1,3,,-2.6,,-10.3,,-6.5,,24.5,,0,,,M,,M,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2004-01-04,2004,1,4,,-1.5,,-11.6,,-6.6,,24.6,,0,,,M,,M,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2004-01-05,2004,1,5,,-2.1,,-13.8,,-8,,26,,0,,,M,,M,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2004-01-06,2004,1,6,,-13.7,,-19.5,,-16.6,,34.6,,0,,,M,,M,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2004-01-07,2004,1,7,,-19.2,,-24.8,,-22,,40,,0,,,M,,M,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2004-01-08,2004,1,8,,-24.8,,-29,,-26.9,,44.9,,0,,,M,,M,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2004-01-09,2004,1,9,,-28.2,,-30.9,,-29.6,,47.6,,0,,,M,,M,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2004-01-10,2004,1,10,,-19.7,,-29.9,,-24.8,,42.8,,0,,,M,,M,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2004-01-11,2004,1,11,,-18.6,,-20.7,,-19.7,,37.7,,0,,,M,,M,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2004-01-12,2004,1,12,,-19.6,,-29.9,,-24.8,,42.8,,0,,,M,,M,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2004-01-13,2004,1,13,,-23.9,,-31.7,,-27.8,,45.8,,0,,,M,,M,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2004-01-14,2004,1,14,,-22.2,,-27.5,,-24.9,,42.9,,0,,,M,,M,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2004-01-15,2004,1,15,,-25,,-31.4,,-28.2,,46.2,,0,,,M,,M,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2004-01-16,2004,1,16,,-30.3,,-36.9,,-33.6,,51.6,,0,,,M,,M,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2004-01-17,2004,1,17,,-24.4,,-39.4,,-31.9,,49.9,,0,,,M,,M,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2004-01-18,2004,1,18,,-22.1,,-26.8,,-24.5,,42.5,,0,,,M,,M,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2004-01-19,2004,1,19,,-25.2,,-29.5,,-27.4,,45.4,,0,,,M,,M,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2004-01-20,2004,1,20,,-28.9,,-33.8,,-31.4,,49.4,,0,,,M,,M,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2004-01-21,2004,1,21,,-29.9,,-34.3,,-32.1,,50.1,,0,,,M,,M,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2004-01-22,2004,1,22,,-32.2,,-37.8,,-35,,53,,0,,,M,,M,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2004-01-23,2004,1,23,,-30.3,,-34.7,,-32.5,,50.5,,0,,,M,,M,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2004-01-24,2004,1,24,,-27.7,,-31.8,,-29.8,,47.8,,0,,,M,,M,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2004-01-25,2004,1,25,,-29.5,,-33.4,,-31.5,,49.5,,0,,,M,,M,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2004-01-26,2004,1,26,,-20.8,,-30.3,,-25.6,,43.6,,0,,,M,,M,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2004-01-27,2004,1,27,,-18.2,,-29.3,,-23.8,,41.8,,0,,,M,,M,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2004-01-28,2004,1,28,,-18.6,,-29,,-23.8,,41.8,,0,,,M,,M,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2004-01-29,2004,1,29,,-22.7,,-29.4,,-26.1,,44.1,,0,,,M,,M,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2004-01-30,2004,1,30,,-21.8,,-29.3,,-25.6,,43.6,,0,,,M,,M,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2004-01-31,2004,1,31,,-22.9,,-32,,-27.5,,45.5,,0,,,M,,M,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2004-02-01,2004,2,1,,-32,,-37.4,,-34.7,,52.7,,0,,,M,,M,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2004-02-02,2004,2,2,,-26.9,,-36.8,,-31.9,,49.9,,0,,,M,,M,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2004-02-03,2004,2,3,,-25.9,,-29.8,,-27.9,,45.9,,0,,,M,,M,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2004-02-04,2004,2,4,,-25.8,,-29,,-27.4,,45.4,,0,,,M,,M,,M,,,,M,,M
