Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-138.91,69.57,HERSCHEL ISLAND,2100636,2020-01-01,2020,1,1,,-21,,-22.5,,-21.7,,39.7,,0,,,,,,,M,,,33,,49,
-138.91,69.57,HERSCHEL ISLAND,2100636,2020-01-02,2020,1,2,,-22.5,,-27,,-24.7,,42.7,,0,,,,,,,M,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2020-01-03,2020,1,3,,-25.4,,-27.4,,-26.4,,44.4,,0,,,,,,,M,,,34,,33,
-138.91,69.57,HERSCHEL ISLAND,2100636,2020-01-04,2020,1,4,,-26.1,,-32.3,,-29.2,,47.2,,0,,,,,,,M,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2020-01-05,2020,1,5,,-29.8,,-33.9,,-31.9,,49.9,,0,,,,,,,M,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2020-01-06,2020,1,6,,-33.9,,-37.3,,-35.6,,53.6,,0,,,,,,,M,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2020-01-07,2020,1,7,,-28.3,,-36.4,,-32.4,,50.4,,0,,,,,,,M,,,32,,44,
-138.91,69.57,HERSCHEL ISLAND,2100636,2020-01-08,2020,1,8,,-25.8,,-29.1,,-27.5,,45.5,,0,,,,,,,M,,,32,,41,
-138.91,69.57,HERSCHEL ISLAND,2100636,2020-01-09,2020,1,9,,-22.4,,-29.8,,-26.1,,44.1,,0,,,,,,,M,,,31,,52,
-138.91,69.57,HERSCHEL ISLAND,2100636,2020-01-10,2020,1,10,,-22.3,,-27.3,,-24.8,,42.8,,0,,,,,,,M,,,32,,50,
-138.91,69.57,HERSCHEL ISLAND,2100636,2020-01-11,2020,1,11,,-25,,-28.2,,-26.6,,44.6,,0,,,,,,,M,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2020-01-12,2020,1,12,,-18.1,,-25.3,,-21.7,,39.7,,0,,,,,,,M,,,14,,54,
-138.91,69.57,HERSCHEL ISLAND,2100636,2020-01-13,2020,1,13,,-17.4,,-23,,-20.2,,38.2,,0,,,,,,,M,,,15,,45,
-138.91,69.57,HERSCHEL ISLAND,2100636,2020-01-14,2020,1,14,,-9.4,,-23.1,,-16.3,,34.3,,0,,,,,,,M,,,31,,64,
-138.91,69.57,HERSCHEL ISLAND,2100636,2020-01-15,2020,1,15,,-13.1,,-24,,-18.5,,36.5,,0,,,,,,,M,,,31,,65,
-138.91,69.57,HERSCHEL ISLAND,2100636,2020-01-16,2020,1,16,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2020-01-17,2020,1,17,,-14.7,,-19,,-16.9,,34.9,,0,,,,,,,M,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2020-01-18,2020,1,18,,-14.8,,-21.9,,-18.3,,36.3,,0,,,,,,,M,,,15,,43,
-138.91,69.57,HERSCHEL ISLAND,2100636,2020-01-19,2020,1,19,,-17.8,,-27.1,,-22.4,,40.4,,0,,,,,,,M,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2020-01-20,2020,1,20,,-22.3,,-27.6,,-24.9,,42.9,,0,,,,,,,M,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2020-01-21,2020,1,21,,-22.5,,-29,,-25.8,,43.8,,0,,,,,,,M,,,13,,35,
-138.91,69.57,HERSCHEL ISLAND,2100636,2020-01-22,2020,1,22,,-19.3,,-29.9,,-24.6,,42.6,,0,,,,,,,M,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2020-01-23,2020,1,23,,-17.2,,-20.7,,-18.9,,36.9,,0,,,,,,,M,,,32,,50,
-138.91,69.57,HERSCHEL ISLAND,2100636,2020-01-24,2020,1,24,,-19.2,,-23.1,,-21.2,,39.2,,0,,,,,,,M,,,32,,50,
-138.91,69.57,HERSCHEL ISLAND,2100636,2020-01-25,2020,1,25,,-22.7,,-27.5,,-25.1,,43.1,,0,,,,,,,M,,,32,,61,
-138.91,69.57,HERSCHEL ISLAND,2100636,2020-01-26,2020,1,26,,-26.3,,-29.4,,-27.8,,45.8,,0,,,,,,,M,,,31,,43,
-138.91,69.57,HERSCHEL ISLAND,2100636,2020-01-27,2020,1,27,,-28.1,,-30.7,,-29.4,,47.4,,0,,,,,,,M,,,32,,52,
-138.91,69.57,HERSCHEL ISLAND,2100636,2020-01-28,2020,1,28,,-29.6,,-31.7,,-30.6,,48.6,,0,,,,,,,M,,,32,,38,
-138.91,69.57,HERSCHEL ISLAND,2100636,2020-01-29,2020,1,29,,-29.9,,-33.3,,-31.6,,49.6,,0,,,,,,,M,,,32,,35,
-138.91,69.57,HERSCHEL ISLAND,2100636,2020-01-30,2020,1,30,,-29.4,,-31.7,,-30.6,,48.6,,0,,,,,,,M,,,31,,45,
-138.91,69.57,HERSCHEL ISLAND,2100636,2020-01-31,2020,1,31,,-30.3,,-32.5,,-31.4,,49.4,,0,,,,,,,M,,,32,,52,
-138.91,69.57,HERSCHEL ISLAND,2100636,2020-02-01,2020,2,1,,-29.1,,-30.5,,-29.8,,47.8,,0,,,,,,,M,,,32,,53,
-138.91,69.57,HERSCHEL ISLAND,2100636,2020-02-02,2020,2,2,,-28.5,,-34.5,,-31.5,,49.5,,0,,,,,,,M,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2020-02-03,2020,2,3,,-30.7,,-36,,-33.3,,51.3,,0,,,,,,,M,,,,,,
