Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-138.91,69.57,HERSCHEL ISLAND,2100636,1997-01-01,1997,1,1,,-23.2,,-27,,-25.1,,43.1,,0,,,M,,M,,M,,,31,,59,
-138.91,69.57,HERSCHEL ISLAND,2100636,1997-01-02,1997,1,2,,-26.5,,-31.9,,-29.2,,47.2,,0,,,M,,M,,M,,,31,,61,
-138.91,69.57,HERSCHEL ISLAND,2100636,1997-01-03,1997,1,3,,,M,-32,E,,M,,M,,M,,M,,M,,M,,,30,,65,
-138.91,69.57,HERSCHEL ISLAND,2100636,1997-01-04,1997,1,4,,,M,-30.8,E,,M,,M,,M,,M,,M,,M,,,28,,57,
-138.91,69.57,HERSCHEL ISLAND,2100636,1997-01-05,1997,1,5,,-31.1,,-35.5,,-33.3,,51.3,,0,,,M,,M,,M,,,33,,32,
-138.91,69.57,HERSCHEL ISLAND,2100636,1997-01-06,1997,1,6,,-31.1,,-35.5,,-33.3,,51.3,,0,,,M,,M,,M,,,32,,35,
-138.91,69.57,HERSCHEL ISLAND,2100636,1997-01-07,1997,1,7,,-30.6,,-34.5,,-32.6,,50.6,,0,,,M,,M,,M,,,33,,33,
-138.91,69.57,HERSCHEL ISLAND,2100636,1997-01-08,1997,1,8,,-30.2,,-34.6,,-32.4,,50.4,,0,,,M,,M,,M,,,,,<31,
-138.91,69.57,HERSCHEL ISLAND,2100636,1997-01-09,1997,1,9,,-23.4,,-34.4,,-28.9,,46.9,,0,,,M,,M,,M,,,12,,76,
-138.91,69.57,HERSCHEL ISLAND,2100636,1997-01-10,1997,1,10,,-17.4,,-23.4,,-20.4,,38.4,,0,,,M,,M,,M,,,14,,83,
-138.91,69.57,HERSCHEL ISLAND,2100636,1997-01-11,1997,1,11,,-8.1,,-24.5,,-16.3,,34.3,,0,,,M,,M,,M,,,34,,69,
-138.91,69.57,HERSCHEL ISLAND,2100636,1997-01-12,1997,1,12,,-14.7,,-18.7,,-16.7,,34.7,,0,,,M,,M,,M,,,34,,52,
-138.91,69.57,HERSCHEL ISLAND,2100636,1997-01-13,1997,1,13,,-16.2,,-19.4,,-17.8,,35.8,,0,,,M,,M,,M,,,12,,50,
-138.91,69.57,HERSCHEL ISLAND,2100636,1997-01-14,1997,1,14,,-11.1,,-16.3,,-13.7,,31.7,,0,,,M,,M,,M,,,12,,35,
-138.91,69.57,HERSCHEL ISLAND,2100636,1997-01-15,1997,1,15,,-6.4,,-14.2,,-10.3,,28.3,,0,,,M,,M,,M,,,15,,43,
-138.91,69.57,HERSCHEL ISLAND,2100636,1997-01-16,1997,1,16,,-8.2,,-12.7,,-10.5,,28.5,,0,,,M,,M,,M,,,,,<31,
-138.91,69.57,HERSCHEL ISLAND,2100636,1997-01-17,1997,1,17,,-8.3,,-16.9,,-12.6,,30.6,,0,,,M,,M,,M,,,33,,41,
-138.91,69.57,HERSCHEL ISLAND,2100636,1997-01-18,1997,1,18,,-16.4,,-25.9,,-21.2,,39.2,,0,,,M,,M,,M,,,33,,44,
-138.91,69.57,HERSCHEL ISLAND,2100636,1997-01-19,1997,1,19,,-24.8,,-29.2,,-27,,45,,0,,,M,,M,,M,,,,,<31,
